x,y,z,xt,yt,zt
-0.121717, 0.009636, -0.743365, , , 
-0.052240, -0.079894, -0.740765, , , 
-0.123360, -0.235021, -1.023293, , , 
-0.168943, -0.151177, -0.947870, , , 
-0.048585, -0.063127, -0.715365, , , 
-0.412566, -0.313149, -1.486001, , , 
-0.350484, -0.162776, -1.142845, , , 
-0.063426, -0.179899, -0.869092, , , 
-0.328357, -0.112135, -0.932185, , , 
-0.329141, -0.119586, -1.016960, , , 
-0.336873, -0.124350, -1.027738, , , 
-0.476514, -0.262654, -1.532442, , , 
-0.171334, -0.066838, -0.748339, , , 
-0.306422, -0.128076, -1.020890, , , 
-0.340899, -0.141438, -1.057077, , , 
-0.156757, -0.081892, -0.788064, , , 
-0.212929, -0.073376, -0.821384, , , 
-0.316919, -0.127885, -1.023215, , , 
-0.070866, -0.085510, -0.722964, , , 
-0.088376, -0.193099, -0.924330, , , 
-0.205045, -0.196834, -1.033519, , , 
-0.069357, 0.002044, -0.717233, , , 
-0.176785, -0.052275, -0.724572, , , 
-0.141777, -0.059699, -0.786142, , , 
-0.044047, -0.075287, -0.701855, , , 
-0.084713, -0.168223, -0.887204, , , 
-0.210857, -0.072140, -0.828147, , , 
-0.150245, -0.002038, -0.767474, , , 
-0.071114, -0.128974, -0.842896, , , 
-0.226754, -0.255189, -1.095827, , , 
-0.012671, -0.111273, -0.744415, , , 
-0.523500, -0.113308, -1.389722, , , 
-0.064248, 0.002312, -0.703662, , , 
-0.080176, -0.164156, -0.872209, , , 
-0.060369, -0.099356, -0.758287, , , 
-0.095766, -0.129247, -0.829110, , , 
-0.333046, -0.148751, -1.070057, , , 
-0.245874, -0.271980, -1.170549, , , 
-0.070595, -0.074337, -0.749051, , , 
-0.107020, -0.148382, -0.886681, , , 
-0.292253, -0.118547, -0.894318, , , 
-0.065958, -0.104776, -0.762332, , , 
-0.227897, -0.027430, -0.934073, , , 
-0.346245, -0.107975, -1.005656, , , 
-0.068901, 0.018243, -0.691358, , , 
-0.219427, -0.164779, -0.973289, , , 
-0.336539, -0.129334, -1.041083, , , 
-0.388982, -0.288061, -1.420293, , , 
-0.143705, -0.083637, -0.794295, , , 
-0.208552, -0.066593, -0.791500, , , 
-0.005641, -0.065604, -0.683229, , , 
-0.213685, -0.247153, -1.110047, , , 
-0.366701, -0.288430, -1.444113, , , 
-0.080737, -0.099123, -0.762884, , , 
-0.007710, -0.076904, -0.695518, , , 
-0.478540, -0.265443, -1.535935, , , 
-0.254549, -0.081117, -0.934618, , , 
0.013407, -0.158857, -0.775649, , , 
-0.381124, -0.211514, -1.232771, , , 
-0.143840, -0.068240, -0.772147, , , 
-0.087506, 0.013260, -0.728655, , , 
-0.505335, -0.319024, -1.687515, , , 
-0.107957, -0.082829, -0.815864, , , 
-0.036665, -0.158318, -0.837810, , , 
-0.099214, -0.131254, -0.837554, , , 
-0.009745, -0.112726, -0.738092, , , 
-0.082183, -0.013050, -0.698195, , , 
-0.088884, 0.004444, -0.726833, , , 
-0.036978, -0.160122, -0.841246, , , 
-0.425362, -0.204787, -1.326636, , , 
-0.093506, -0.104865, -0.769189, , , 
-0.062349, -0.136276, -0.856026, , , 
-0.556659, -0.322472, -1.725937, , , 
-0.004344, -0.054408, -0.680161, , , 
-0.152933, -0.074039, -0.788879, , , 
-0.420535, -0.316724, -1.508894, , , 
-0.200306, -0.053697, -0.786120, , , 
-0.440356, -0.352311, -1.584229, , , 
-0.381507, -0.200157, -1.296923, , , 
-0.068726, -0.072981, -0.738343, , , 
-0.130511, -0.127617, -0.871855, , , 
-0.453126, -0.343693, -1.600545, , , 
-0.178103, -0.086349, -0.829920, , , 
-0.240771, -0.024806, -0.940644, , , 
-0.035727, -0.110569, -0.816952, , , 
-0.424618, -0.237581, -1.416226, , , 
-0.163141, -0.095113, -0.843035, , , 
-0.098084, -0.130757, -0.835754, , , 
-0.139665, -0.038704, -0.749337, , , 
0.004525, -0.153185, -0.785536, , , 
-0.690162, -0.262505, -1.827588, , , 
-0.151655, -0.174798, -0.952169, , , 
-0.063778, -0.102871, -0.749860, , , 
-0.406695, -0.205235, -1.334371, , , 
-0.398718, -0.324661, -1.472911, , , 
-0.536830, -0.216237, -1.480406, , , 
-0.189011, -0.082438, -0.796624, , , 
-0.213753, -0.070639, -0.798315, , , 
-0.134570, -0.061667, -0.770251, , , 
-0.144229, -0.067016, -0.769080, , , 
-0.007843, -0.135812, -0.771606, , , 
-0.187068, -0.084911, -0.832106, , , 
-0.107464, -0.061921, -0.761016, , , 
-0.334358, -0.167238, -1.134291, , , 
-0.120617, -0.221297, -1.017363, , , 
-0.082071, 0.013688, -0.706862, , , 
-0.089637, -0.102683, -0.755041, , , 
-0.345230, -0.107789, -1.001469, , , 
-0.113064, -0.194900, -0.962253, , , 
-0.489179, -0.343407, -1.645351, , , 
-0.122098, -0.074681, -0.778088, , , 
-0.093007, 0.009646, -0.734246, , , 
-0.119246, -0.181030, -0.967721, , , 
-0.064350, 0.018905, -0.674711, , , 
-0.148194, -0.052510, -0.768495, , , 
-0.211546, -0.103293, -0.871570, , , 
-0.160423, -0.102267, -0.850017, , , 
-0.142567, -0.071682, -0.773169, , , 
-0.094612, -0.177165, -0.933436, , , 
-0.199128, -0.101794, -0.843524, , , 
-0.446855, -0.334602, -1.577924, , , 
-0.220383, -0.109798, -0.902615, , , 
-0.136707, -0.081541, -0.794403, , , 
-0.157132, -0.065183, -0.763021, , , 
-0.151486, -0.069111, -0.777920, , , 
-0.157457, -0.076904, -0.793675, , , 
-0.059333, -0.097625, -0.749448, , , 
-0.124323, 0.006015, -0.751861, , , 
-0.084798, -0.013252, -0.715918, , , 
-0.078285, -0.123590, -0.798180, , , 
-0.329422, -0.214487, -1.247927, , , 
-0.110318, -0.219938, -0.965186, , , 
-0.035751, -0.111035, -0.805320, , , 
-0.074594, -0.110134, -0.781410, , , 
-0.225881, -0.065570, -0.818219, , , 
-0.054710, -0.103909, -0.787394, , , 
-0.602454, -0.119203, -1.517973, , , 
-0.099650, -0.057387, -0.742682, , , 
-0.468961, -0.364452, -1.682368, , , 
-0.073329, -0.198208, -0.907352, , , 
-0.097004, -0.119534, -0.833379, , , 
-0.380992, -0.250872, -1.376812, , , 
-0.104259, -0.145518, -0.863388, , , 
-0.336173, -0.098026, -0.977603, , , 
-0.140968, -0.242448, -1.048642, , , 
-0.448546, -0.369930, -1.610958, , , 
-0.010256, 0.048631, -0.508293, , , 
-0.056424, -0.109015, -0.770042, , , 
-0.063077, -0.102150, -0.772512, , , 
-0.099937, -0.120696, -0.840565, , , 
-0.109440, -0.190053, -0.943196, , , 
-0.422697, -0.360508, -1.509661, , , 
-0.174267, -0.052377, -0.743321, , , 
-0.100530, -0.142156, -0.845119, , , 
-0.148221, -0.080245, -0.794709, , , 
-0.151034, -0.053049, -0.745363, , , 
-0.432343, -0.150241, -1.238592, , , 
-0.040300, -0.171533, -0.868539, , , 
-0.160002, -0.058142, -0.784986, , , 
