x,y,z,xt,yt,zt
-0.302131, -0.104122, -0.992235, , , 
0.006768, -0.027596, -0.994723, , , 
-0.307485, -0.131646, -0.985336, , , 
-0.025862, -0.112133, -1.029814, , , 
-0.106395, -0.024329, -1.075967, , , 
-0.305965, -0.131526, -0.985146, , , 
-0.333361, -0.057126, -0.980830, , , 
-0.343741, -0.052064, -0.974153, , , 
-0.240384, -0.160257, -1.019867, , , 
-0.316630, -0.078165, -0.987947, , , 
-0.134812, -0.012571, -1.129131, , , 
-0.314529, -0.121166, -0.984968, , , 
-0.031857, -0.054919, -1.044785, , , 
-0.325697, 0.001258, -0.989253, , , 
-0.313836, -0.087600, -0.998249, , , 
-0.319714, -0.058400, -0.979800, , , 
-0.094889, -0.123944, -1.095689, , , 
-0.291765, -0.106771, -0.996711, , , 
-0.269690, -0.156269, -1.019185, , , 
-0.124907, -0.013688, -1.091346, , , 
-0.264805, -0.151485, -1.008436, , , 
-0.026021, 0.072044, -1.044726, , , 
-0.284395, 0.035092, -1.019894, , , 
-0.352061, -0.109808, -0.962774, , , 
-0.272938, -0.063524, -1.016649, , , 
-0.032628, -0.056913, -1.050213, , , 
-0.298664, -0.095263, -0.999760, , , 
-0.326869, -0.055888, -0.974599, , , 
-0.051544, -0.128391, -1.029560, , , 
-0.032255, 0.062960, -1.053293, , , 
-0.184352, -0.117703, -1.068051, , , 
-0.343944, -0.047688, -0.972033, , , 
-0.282759, -0.112459, -1.006944, , , 
-0.264935, -0.092010, -1.022960, , , 
-0.163034, -0.104656, -1.138276, , , 
-0.092048, -0.146207, -1.084729, , , 
-0.296639, -0.103285, -0.992685, , , 
-0.305533, -0.118828, -0.992491, , , 
-0.238167, -0.084951, -1.031584, , , 
-0.319219, -0.100733, -0.978841, , , 
-0.280951, 0.031440, -1.025368, , , 
-0.011396, 0.077831, -0.908428, , , 
-0.027629, -0.107163, -1.013497, , , 
-0.278880, -0.095508, -1.010840, , , 
-0.239576, -0.084378, -1.034454, , , 
-0.292147, -0.065532, -1.003779, , , 
-0.008865, 0.078737, -0.908980, , , 
-0.276955, -0.097781, -1.011199, , , 
-0.237227, -0.119094, -1.029825, , , 
-0.230879, -0.023585, -1.080124, , , 
-0.297993, 0.115068, -1.076433, , , 
-0.276716, -0.005644, -1.017990, , , 
-0.254407, -0.124506, -1.019448, , , 
-0.246594, -0.133357, -1.025107, , , 
-0.284041, -0.148908, -0.999868, , , 
-0.280058, 0.107885, -1.191195, , , 
-0.228241, -0.040646, -1.044617, , , 
-0.274343, 0.061332, -1.026743, , , 
-0.288164, 0.075465, -1.007776, , , 
-0.306413, -0.093632, -1.001405, , , 
-0.340200, -0.106322, -0.964349, , , 
-0.102860, -0.206789, -1.171403, , , 
-0.140082, -0.176699, -1.130253, , , 
-0.037666, -0.182533, -1.100399, , , 
-0.270592, -0.150122, -1.008063, , , 
-0.278106, -0.162424, -0.995163, , , 
-0.260783, -0.088029, -1.020796, , , 
-0.316377, -0.078839, -0.984890, , , 
-0.312127, -0.103366, -0.987267, , , 
0.001476, -0.091644, -1.011779, , , 
-0.275715, 0.001126, -1.013682, , , 
-0.344394, -0.159090, -0.963216, , , 
-0.310881, 0.086020, -0.996679, , , 
-0.244045, -0.057045, -1.034824, , , 
-0.328000, -0.162927, -0.972977, , , 
-0.262122, 0.110232, -1.027335, , , 
-0.252343, -0.126518, -1.012699, , , 
-0.361668, 0.035481, -0.997265, , , 
-0.302252, -0.105887, -0.992673, , , 
-0.319591, -0.077487, -0.994069, , , 
-0.217248, -0.048298, -1.173378, , , 
-0.200556, -0.118583, -1.064310, , , 
-0.264267, 0.011754, -1.023369, , , 
-0.112120, -0.006669, -1.090328, , , 
-0.206861, -0.093794, -1.065564, , , 
-0.187647, -0.096978, -1.092291, , , 
-0.305872, 0.133375, -1.307342, , , 
-0.198456, -0.107721, -1.057518, , , 
-0.273677, 0.060593, -1.027283, , , 
-0.215432, -0.138017, -1.136739, , , 
-0.237953, 0.061406, -1.076923, , , 
-0.333049, -0.171060, -0.954522, , , 
-0.265146, 0.026850, -1.009522, , , 
-0.044320, -0.179547, -1.033944, , , 
-0.035818, -0.158915, -1.039336, , , 
-0.272871, -0.122928, -0.975084, , , 
-0.284844, -0.127046, -0.978290, , , 
-0.037910, -0.150065, -1.074987, , , 
0.007553, -0.024826, -0.980669, , , 
-0.340537, 0.008758, -0.975316, , , 
-0.042068, -0.155878, -1.074950, , , 
-0.215945, 0.087317, -1.221390, , , 
-0.341644, -0.159550, -0.959717, , , 
-0.345595, -0.090588, -0.958366, , , 
-0.221941, -0.094325, -1.148158, , , 
-0.297416, -0.132527, -0.968208, , , 
-0.086433, -0.171083, -1.100085, , , 
-0.039607, -0.074805, -1.065653, , , 
-0.351342, -0.101006, -0.958604, , , 
-0.280102, 0.032321, -1.024487, , , 
-0.137258, -0.150887, -1.119491, , , 
-0.276137, 0.055052, -1.215607, , , 
-0.207083, -0.102234, -1.051943, , , 
-0.277062, -0.004198, -1.016897, , , 
-0.259283, -0.059322, -1.023446, , , 
-0.345367, 0.023118, -0.981286, , , 
-0.215090, -0.096259, -1.129947, , , 
-0.021754, -0.014270, -1.016844, , , 
-0.054477, -0.140898, -1.039010, , , 
0.002478, -0.017758, -0.967232, , , 
-0.017710, -0.052471, -1.067221, , , 
-0.305243, -0.117599, -0.990813, , , 
0.021719, -0.170443, -1.022398, , , 
-0.292314, -0.167946, -0.979186, , , 
-0.354140, -0.040444, -0.995885, , , 
-0.362636, -0.123217, -0.959912, , , 
-0.034063, -0.086195, -1.033571, , , 
0.013631, -0.019244, -0.977401, , , 
-0.290172, 0.034020, -1.009306, , , 
-0.101460, -0.156286, -1.097126, , , 
-0.306934, -0.000344, -0.994040, , , 
-0.035518, -0.072598, -1.068565, , , 
-0.205029, -0.089305, -1.064917, , , 
-0.034044, -0.097572, -1.006884, , , 
-0.122002, -0.138841, -1.103690, , , 
-0.231782, -0.162638, -1.033773, , , 
-0.360721, 0.032248, -0.990870, , , 
-0.175487, -0.081354, -1.111965, , , 
-0.059266, -0.048835, -1.052214, , , 
-0.216023, -0.061183, -1.168678, , , 
-0.068279, -0.095879, -0.971588, , , 
-0.198901, -0.084572, -1.079271, , , 
-0.268535, -0.109758, -0.947796, , , 
-0.254858, -0.101362, -1.025490, , , 
-0.188758, -0.176329, -1.152735, , , 
-0.199112, -0.149317, -1.141676, , , 
-0.322673, 0.091000, -0.995909, , , 
-0.012379, 0.041432, -1.045466, , , 
-0.159782, -0.019907, -1.142342, , , 
-0.089703, -0.065914, -1.005163, , , 
-0.344159, -0.045603, -0.969295, , , 
-0.012431, 0.046693, -1.052791, , , 
-0.130959, -0.028824, -1.115012, , , 
-0.301590, -0.100171, -0.994878, , , 
-0.331632, -0.160806, -0.961118, , , 
-0.309626, -0.111467, -0.980130, , , 
-0.040417, -0.046113, -1.071163, , , 
-0.335550, 0.006040, -0.966412, , , 
-0.294205, -0.115999, -0.992843, , , 
-0.033578, -0.083200, -1.043242, , , 
-0.077193, -0.101626, -1.062929, , , 
-0.314897, -0.096735, -0.983177, , , 
-0.184652, -0.091743, -1.072441, , , 
-0.288914, 0.076886, -1.015676, , , 
-0.167852, -0.207673, -1.235248, , , 
-0.178447, 0.037434, -1.174998, , , 
-0.238957, -0.154590, -1.023304, , , 
-0.063235, -0.100625, -1.000141, , , 
-0.318307, 0.068124, -1.004394, , , 
-0.021932, -0.022140, -1.121187, , , 
-0.346501, 0.051483, -0.941299, , , 
-0.293471, -0.154167, -1.026616, , , 
-0.064107, -0.131901, -1.080902, , , 
-0.122715, 0.004881, -1.064490, , , 
-0.293681, -0.179294, -0.994234, , , 
-0.289927, -0.124379, -0.959065, , , 
-0.110577, 0.081163, -1.080972, , , 
-0.195206, -0.095197, -1.097318, , , 
-0.192304, -0.074336, -1.055966, , , 
-0.286989, -0.172380, -0.979594, , , 
-0.349602, -0.108898, -0.960053, , , 
-0.184344, -0.169685, -1.075663, , , 
-0.252701, -0.092837, -1.019976, , , 
-0.108244, 0.004937, -1.084552, , , 
-0.177783, -0.167779, -1.099943, , , 
-0.010685, -0.135153, -1.025981, , , 
-0.072718, -0.154915, -1.074820, , , 
-0.361735, -0.097997, -0.946276, , , 
-0.221770, -0.021387, -1.055582, , , 
-0.333080, 0.023225, -0.952908, , , 
-0.274152, -0.000799, -1.025143, , , 
-0.196525, -0.101659, -1.062133, , , 
-0.037228, -0.160325, -1.045172, , , 
-0.280020, -0.108275, -1.004185, , , 
-0.229355, 0.084736, -1.122257, , , 
-0.118458, -0.024297, -1.062183, , , 
-0.311469, -0.062723, -0.991579, , , 
-0.236796, -0.155019, -1.013265, , , 
-0.339080, -0.160251, -0.951936, , , 
-0.334273, -0.049548, -0.953678, , , 
-0.284508, -0.182624, -0.988536, , , 
-0.187666, -0.080405, -1.087430, , , 
-0.288238, -0.167789, -0.986453, , , 
-0.364956, -0.158886, -0.959422, , , 
-0.364804, -0.148993, -0.934686, , , 
-0.361584, -0.047154, -1.014499, , , 
-0.366315, -0.134470, -0.935479, , , 
-0.254606, -0.126635, -1.022151, , , 
-0.307946, -0.128472, -0.983938, , , 
-0.281264, -0.147921, -0.996803, , , 
-0.183595, -0.108496, -1.085185, , , 
-0.336141, -0.044473, -0.934975, , , 
-0.364294, -0.133506, -0.934098, , , 
-0.281470, -0.146555, -0.994193, , , 
-0.348742, -0.155203, -0.946716, , , 
-0.264266, 0.010185, -1.022478, , , 
-0.210298, -0.119167, -1.055033, , , 
-0.262327, -0.128895, -1.016776, , , 
-0.354857, -0.154422, -0.942249, , , 
-0.208205, -0.139500, -1.048376, , , 
-0.241483, -0.053219, -1.033740, , , 
-0.322989, -0.091174, -0.978247, , , 
-0.354134, -0.047661, -0.918437, , , 
-0.235608, -0.099374, -1.029539, , , 
-0.358138, -0.097453, -0.955094, , , 
-0.357736, -0.089726, -0.954157, , , 
-0.358533, -0.176316, -0.948230, , , 
-0.355182, -0.095022, -0.939233, , , 
-0.239561, -0.100414, -1.032034, , , 
-0.323094, 0.005384, -0.959028, , , 
-0.244311, -0.036693, -1.036563, , , 
-0.355461, -0.066639, -0.934484, , , 
-0.309392, -0.183999, -0.972172, , , 
-0.352059, -0.052679, -0.930980, , , 
-0.355781, -0.043002, -0.891121, , , 
-0.350494, -0.065504, -0.929975, , , 
-0.333569, -0.173014, -0.926980, , , 
-0.352992, -0.116390, -0.904029, , , 
-0.338305, 0.002629, -0.977573, , , 
-0.445464, -0.205979, -0.937680, , , 
-0.376799, -0.029518, -0.888206, , , 
